experiment_id,match,gap,egap,algo,init_method,dataset,scene,image_filename,image_filename,img_res,preprocessing_method,kernel_size,kernel_spec,are_occlusions_errors,abs_error,mse,avg,eucledian,bad1,bad2,bad4,bad8,runtime
bm_10_1x5,10,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,Jadeplant,\benchmarking\MiddEval\MiddEval3\trainingQ\Jadeplant\disp0bm_10_1x5.png,,659x497,None,1x5,None,FALSE,8227784.904,1947.879038,25.47562105,25081.8789,0.64444355,0.567122957,0.509680556,0.465666771,65.27254391
bm_10_1x5,10,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,MotorcycleE,\benchmarking\MiddEval\MiddEval3\trainingQ\MotorcycleE\disp0bm_10_1x5.png,,741x497,None,1x5,None,FALSE,15908437.26,3257.09315,44.11743229,34270.75999,0.997653865,0.995554545,0.991866176,0.983421753,71.52806878
bm_10_1x5,10,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,Motorcycle,\benchmarking\MiddEval\MiddEval3\trainingQ\Motorcycle\disp0bm_10_1x5.png,,741x497,None,1x5,None,FALSE,2772628.444,285.759279,7.689080053,10150.99974,0.355719606,0.28813094,0.26053473,0.23759474,72.09307218
bm_10_1x5,10,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,PianoL,\benchmarking\MiddEval\MiddEval3\trainingQ\PianoL\disp0bm_10_1x5.png,,707x481,None,1x5,None,FALSE,8950758.726,1444.304387,27.80999685,21560.49962,0.934016666,0.909707507,0.872112821,0.820070591,68.17181635
bm_10_1x5,10,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,Piano,\benchmarking\MiddEval\MiddEval3\trainingQ\Piano\disp0bm_10_1x5.png,,707x481,None,1x5,None,FALSE,1487233.467,95.16689951,4.620832635,5534.423843,0.488500997,0.378106222,0.26920902,0.16478279,67.99535489
bm_10_1x5,10,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,Pipes,\benchmarking\MiddEval\MiddEval3\trainingQ\Pipes\disp0bm_10_1x5.png,,735x485,None,1x5,None,FALSE,3450284.916,345.9149512,10.03217275,10907.23438,0.49156204,0.409930159,0.362433924,0.313623438,70.82071447
bm_10_1x5,10,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,Playroom,\benchmarking\MiddEval\MiddEval3\trainingQ\Playroom\disp0bm_10_1x5.png,,699x476,None,1x5,None,FALSE,5166842.922,749.3322143,16.41685177,15356.94726,0.714464554,0.602504385,0.501315422,0.430683002,66.46395683
bm_10_1x5,10,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,PlaytableP,\benchmarking\MiddEval\MiddEval3\trainingQ\PlaytableP\disp0bm_10_1x5.png,,681x462,None,1x5,None,FALSE,1774314.089,155.242727,5.795495368,6894.068599,0.443489224,0.34421239,0.278121468,0.181297648,63.32122016
bm_10_1x5,10,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,Playtable,\benchmarking\MiddEval\MiddEval3\trainingQ\Playtable\disp0bm_10_1x5.png,,680x463,None,1x5,None,FALSE,2001559.964,169.7116441,6.532613012,7211.01929,0.52159141,0.412833108,0.340031658,0.219474861,64.38243699
bm_10_1x5,10,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,Recycle,\benchmarking\MiddEval\MiddEval3\trainingQ\Recycle\disp0bm_10_1x5.png,,720x486,None,1x5,None,FALSE,1200385.054,52.73923394,3.48881193,4259.792249,0.439428948,0.310372689,0.215702174,0.14823857,68.51632929
